-7.27929619780248e-05+0.000296475496696656i,-0.000164315627678059+1.35738063699625e-05i,0.000274868193513697+-0.000520163875300477i,-0.00015677182593178+6.03895893047583e-05i,-0.00011989819752604+0.000226276628480358i,0.000314515211494367+-0.000144158040144538i,-0.000179186440579102+0.000185958726795745i,1.72395488412414e-05+-7.71743538943478e-05i
-3.06626036974371e-05+0.00048101707842173i,-0.000132367285713785+0.00013503829638414i,-0.000116340483069291+0.000325988951287369i,7.00496080653102e-05+-3.7261546974842e-05i,-0.000296066948921068+0.000282692828460115i,-0.000351823901116602+7.09992895415936e-05i,0.000351407404862559+0.000362302497789362i,-9.17472247000889e-05+8.6030570414958e-05i
0.000414386254819302+0.000438050891619033i,0.000350593006857976+-0.000116583531927334i,-0.00014764786733311+0.000185850778892053i,-6.62490057298223e-05+1.55920603314251e-05i,-0.000311582674017631+0.000665921472473034i,0.000137464427144662+9.9631242846521e-05i,-0.00035817021807493+-0.000397517555055269i,0.000121740567697828+-6.35651505994945e-05i
0.000527011184311321+6.6431972911974e-05i,-0.00032683508567216+-4.80088313815941e-05i,0.00033997154066876+-0.000408887691108263i,-7.56910610469794e-05+2.62033429775273e-05i,0.000260301650551282+0.000740438210098923i,0.000153960338364145+-0.000138572835177872i,0.000123821301108711+-3.5134973424099e-05i,-0.00015585067280417+0.000107451492619811i
3.57550751756176e-05+-0.000119032407966691i,0.000114129959800484+0.000133103902997461i,-0.000289528768406748+9.16608518286548e-05i,0.000176976593179548+-4.74311159380946e-05i,0.000589004613402072+0.000468622810156202i,-0.000318309039447678+8.5595904033161e-06i,0.000165795330538562+0.000352755028588973i,6.46824149909578e-05+-5.68730862969275e-05i
-0.000482947112562033+-0.000202540347316473i,0.000128679997591152+-5.95423349406814e-05i,4.84670612065678e-05+0.000220562339741828i,-0.000144663441318488+7.35649783413887e-05i,0.000367695584773682+0.000411265642545238i,0.000283262705967138+0.000106881385192579i,-0.000297562612631541+-0.00019795035660601i,3.33085633093134e-05+3.60524624730994e-05i
-0.000643631002173119+-0.000177267060615259i,-0.00025749347331809+-7.26606619099668e-05i,0.000179679607916259+-0.000264082796189311i,0.000112400698584321+-9.79534902370533e-05i,-0.000243330811485019+0.000227124449271262i,-0.000105333556417618+-9.65065746672429e-05i,0.00019705598747165+-3.97813690327307e-05i,-0.000114306809210147+-4.61975741994204e-05i
-6.75731115481495e-05+-0.000287145647777533i,0.000235424500113677+0.000119624717815452i,-0.000235277032580217+0.000178880581973233i,2.79553102628316e-05+7.44399858365207e-05i,-0.000792858252090567+0.000390033773791229i,-7.90421289636176e-05+-3.29501446298069e-05i,1.6306719772964e-05+0.000270616520390726i,0.00014949839003943+-3.27547973085172e-05i
0.000801065762841983+-0.000611975051182357i,-9.99865187104386e-05+-1.77437392395909e-05i,0.000126506294929308+0.000234377856259795i,-7.50467520796651e-05+-6.46525498098985e-05i,-0.000393438559744093+0.00023679743392311i,0.000220608003348029+0.000137936448751403i,-0.000178372237303056+-0.000405962832682826i,-7.7064240143861e-05+4.94074802832484e-05i
0.000599718892295961+-0.000460262450809133i,-0.000125136103211419+-0.00014216238917695i,5.40266939452442e-05+-0.00054828181075314i,0.000108122728371203+6.80373233270674e-05i,0.000684194138886888+-0.000194015952638614i,-0.000203347554130273+-7.86965865980952e-05i,0.000214746947192231+-0.00013310831542926i,6.45423436947688e-05+-5.87891308741993e-05i
-0.000427698295866339+-0.00041120084661794i,0.000234929553624776+0.000139895680138993i,-0.000212634982372688+6.7030260743343e-05i,-0.000127249184371942+-1.43956850193217e-05i,0.000554222358296045+6.10796105714828e-05i,-8.75814321567677e-06+-0.000114723606386925i,-0.000108270929434549+0.000622309120705787i,1.30050262659439e-05+7.4887018082889e-05i
-0.000398755869790674+-0.00069370777158681i,-0.00010162011235256+4.5784493274821e-05i,0.000235300217979848+0.000566431023377251i,9.53378678987731e-05+-7.41995998390991e-07i,-0.000167831338362409+0.000154980376738063i,0.000214328304565619+0.000182144051730168i,-9.17228371581714e-05+-0.000325403012866741i,-4.71936599715055e-05+-0.000111087782871275i
-2.50408366202708e-05+-0.000695917107961756i,-0.000147262252958519+-0.000192196826704716i,-9.42853644022814e-05+-0.00053291512458515i,-7.8081116341779e-05+5.85284449060645e-05i,-0.000213837232474418+-4.53190000113626e-05i,-0.0001990254547511+-4.25109317088229e-05i,0.000227509201581944+-0.00034361845203351i,0.000113852758981537+8.50330022473634e-05i
1.83697972029728e-05+-0.000572607099062199i,0.00026391759891829+0.000119219345037506i,-7.16207584051378e-05+-2.71370881405871e-05i,-4.38443229624881e-05+-3.70641526378861e-05i,-0.000136916051735386+-6.75467749453412e-05i,-2.9598542467783e-05+-0.000148254214443427i,-0.000207145876974833+0.000588297073491872i,-0.000123034717579554+-3.06397815539927e-05i
0.00014511344723524+-0.000510011946380778i,-0.000123831865031472+6.45177967433983e-05i,0.000155660461449782+0.000476965459443339i,8.6202550137086e-05+9.93003465077911e-05i,-0.000178985560491795+7.76043256288235e-05i,0.000260941801781772+0.000168577102248715i,0.000110931481945724+-0.000270943233726579i,9.25883138379953e-05+3.67002376276912e-05i
